id,league,x_label,x_unit,x_step,x_min,x_max,y_label,y_unit,y_step,y_min,y_max,target_player,target_x,target_y,ref1_name,ref1_x,ref1_y,ref2_name,ref2_x,ref2_y,ref3_name,ref3_x,ref3_y,ref4_name,ref4_x,ref4_y,ref5_name,ref5_x,ref5_y,fact,source
mlb-as-hr-carew,MLB,Career All-Star selections,AS,1,0,20,Career home runs,HR,1,0,800,Rod Carew,18,92,Alan Trammell,6,185,Gary Sheffield,9,509,George Brett,13,317,,,,,,,"Rod Carew was an All-Star in 18 different seasons — more than George Brett (13) or Gary Sheffield (9) — and hit 92 home runs in his entire career. Sheffield hit 509. Carew's case was built almost entirely on batting average and on-base skill: he won seven batting titles and reached base constantly, which is a kind of stardom the home-run column simply doesn't record.","Lahman / Chadwick Bureau baseball databank (core/Batting.csv, core/AllstarFull.csv). Career regular-season totals summed by playerID; All-Star selections counted as distinct years."
mlb-sb-hr-smith,MLB,Career stolen bases,SB,1,0,800,Career home runs,HR,1,0,800,Ozzie Smith,580,28,Fred McGriff,72,493,Mike Schmidt,174,548,Andre Dawson,314,438,,,,,,,"Ozzie Smith stole 580 bases and hit 28 home runs — for his whole career. Andre Dawson, the closest of these three in steals at 314, hit 438. Smith is the clearest case in baseball of a first-ballot Hall of Famer whose value lived almost entirely in places the box score barely tracks: defense at shortstop, and legs.","Lahman / Chadwick Bureau baseball databank (core/Batting.csv, core/AllstarFull.csv). Career regular-season totals summed by playerID; All-Star selections counted as distinct years."
mlb-2b-hr-killebrew,MLB,Career doubles,2B,1,250,650,Career home runs,HR,1,100,900,Harmon Killebrew,290,573,Tim Raines,430,170,Rickey Henderson,510,297,Eddie Murray,560,504,,,,,,,"Harmon Killebrew hit 573 home runs and only 290 doubles — nearly twice as many homers as doubles, which is close to backwards for a hitter. Eddie Murray, with a similar 504 home runs, hit 560 doubles. Killebrew simply didn't hit many balls that stayed in the park: he either cleared the fence or he didn't.","Lahman / Chadwick Bureau baseball databank (core/Batting.csv, core/AllstarFull.csv). Career regular-season totals summed by playerID; All-Star selections counted as distinct years."
mlb-avg-hr-cobb,MLB,Career batting average,AVG,0.001,0.225,0.425,Career home runs,HR,1,0,800,Ty Cobb,0.366,117,Andruw Jones,0.254,434,Barry Larkin,0.295,198,Ted Williams,0.344,521,,,,,,,"Ty Cobb's .366 career batting average is the highest in major-league history, and he hit 117 home runs doing it — fewer than a quarter of Ted Williams' 521, and Williams is the one player here who did both. Cobb played nearly his whole career in the dead-ball era, when the game was built on contact, speed and place-hitting rather than power.",Lahman / Chadwick Bureau baseball databank (core/Batting.csv). Career regular-season totals summed by playerID; batting average computed as H/AB.
mlb-sb-hr-raines,MLB,Career stolen bases,SB,1,0,2000,Career home runs,HR,1,100,900,Tim Raines,808,170,Mark McGwire,12,583,Mike Schmidt,174,548,Rickey Henderson,1406,297,,,,,,,"Tim Raines stole 808 bases — more than four times Mike Schmidt's and Mark McGwire's combined — while hitting 170 home runs. He is second on this chart in steals and still miles behind Rickey Henderson's 1,406, which is the single most untouchable counting record in baseball. Raines waited ten years on the Hall of Fame ballot largely because the skills he was best at don't photograph well.","Lahman / Chadwick Bureau baseball databank (core/Batting.csv, core/AllstarFull.csv). Career regular-season totals summed by playerID; All-Star selections counted as distinct years."
mlb-so-hr-ruth,MLB,Career strikeouts,SO,1,1000,3000,Career home runs,HR,1,200,1000,Babe Ruth,1330,714,Bernie Williams,1212,287,Willie McCovey,1550,521,Reggie Jackson,2597,563,,,,,,,"Babe Ruth struck out 1,330 times, which was considered reckless in his era — and it is fewer strikeouts than Willie McCovey, Reggie Jackson, or plenty of ordinary modern hitters. He hit 714 home runs against them. Reggie Jackson, the all-time strikeout leader at 2,597, needed nearly twice as many strikeouts to hit 563.","Lahman / Chadwick Bureau baseball databank (core/Batting.csv, core/AllstarFull.csv). Career regular-season totals summed by playerID; All-Star selections counted as distinct years."
nfl-passtd-int-manning-2013,NFL,Interceptions (season),INT,1,0,40,Passing touchdowns (season),TDs,1,15,35,"Eli Manning, 2013",27,18,"Aaron Rodgers, 2018",2,25,"Peyton Manning, 2003",10,29,"Ben Roethlisberger, 2013",14,28,,,,,,,"Eli Manning threw 27 interceptions and 18 touchdowns in 2013 — one of the very few modern seasons where a full-time starter finished with more interceptions than touchdown passes. Ben Roethlisberger, playing the same season, threw 28 touchdowns against 14 picks. Manning won two Super Bowl MVPs and also produced this.",nflverse-data player_stats release. Regular-season weekly rows aggregated by player_id and season.
nfl-ypc-rushyds-achane-2023,NFL,Yards per carry (season),YPC,0.1,2,10,Rushing yards (season),yards,1,700,1500,"Devon Achane, 2023",7.8,800,"Jamal Lewis, 2005",3.4,906,"Steven Jackson, 2009",4.4,1424,"Lamar Jackson, 2019",6.9,1206,,,,,,,"Devon Achane averaged 7.8 yards per carry as a rookie in 2023 — a figure that would be an all-time record over a full workload — and finished with 800 rushing yards, the fewest on this chart. He was that efficient precisely because he was used sparingly. Volume and efficiency in the running game usually pull against each other, and this is the cleanest example of it.",nflverse-data player_stats release. Regular-season weekly rows aggregated by player_id and season.
nfl-rushyds-recyds-alexander-2005,NFL,Rushing yards (season),yards,1,500,2500,Receiving yards (season),yards,1,0,800,"Shaun Alexander, 2005",1880,78,"Matt Forte, 2016",813,263,"Steven Jackson, 2005",1046,320,"Fred Taylor, 2002",1314,408,,,,,,,"Shaun Alexander's 2005 MVP season was 1,880 rushing yards and 78 receiving yards. Fred Taylor, with 566 fewer rushing yards, had five times the receiving production. Alexander was a pure between-the-tackles runner in an offense that never asked him to catch anything — a role that has essentially disappeared from the modern NFL.",nflverse-data player_stats release. Regular-season weekly rows aggregated by player_id and season.
nfl-rec-recyds-welker-2007,NFL,Receptions (season),rec,1,70,150,Receiving yards (season),yards,1,1150,1350,"Wes Welker, 2007",112,1175,"Terrell Owens, 2004",77,1200,"Calvin Johnson, 2015",88,1214,"Torry Holt, 2005",102,1331,,,,,,,"Wes Welker caught 112 passes in 2007 — the most on this chart by ten — for 1,175 yards, which is fewer than Terrell Owens gained on 35 fewer catches. That is 10.5 yards a reception against Owens' 15.6. Welker's whole game was volume underneath, and it made him one of the most productive receivers of his era without ever being a deep threat.",nflverse-data player_stats release. Regular-season weekly rows aggregated by player_id and season.
nfl-rushypg-td-dillon-2006,NFL,Rushing yards per game (season),YPG,0.1,40,120,Rushing touchdowns (season),TDs,1,0,20,"Corey Dillon, 2006",50.8,13,"Lamar Jackson, 2021",63.9,2,"Steven Jackson, 2011",76.3,5,"Adrian Peterson, 2013",90.4,10,,,,,,,"Corey Dillon rushed for 50.8 yards a game in 2006 — the least of these four — and scored 13 rushing touchdowns, the most. Adrian Peterson needed nearly twice the yardage per game to score ten. Dillon was splitting carries with Laurence Maroney by then but kept the goal-line work, which is the single most efficient way to look productive in the column fans actually remember.",nflverse-data player_stats release. Regular-season weekly rows aggregated by player_id and season.
nfl-passtd-int-rodgers-2011,NFL,Interceptions (season),INT,1,0,20,Passing touchdowns (season),TDs,1,15,55,"Aaron Rodgers, 2011",6,45,"Justin Herbert, 2022",10,25,"Eli Manning, 2017",13,19,"Peyton Manning, 2014",15,39,,,,,,,"Aaron Rodgers threw 45 touchdowns against 6 interceptions in 2011, a ratio of 7.5 to 1 in a season where he also posted the highest single-season passer rating in NFL history at the time. Peyton Manning's 2014 — 39 touchdowns, 15 picks — is an excellent season and is not close to this.",nflverse-data player_stats release. Regular-season weekly rows aggregated by player_id and season.
nba-fga-ts-davis-2003,NBA,Field goal attempts per game (season),FGA,0.1,10,30,True shooting percentage (season),TS%,0.1,47.5,67.5,"Baron Davis, 2003-04",20.9,49.2,"Aaron Gordon, 2022-23",11.2,61.7,"Bam Adebayo, 2023-24",14.3,57.6,"Vince Carter, 2002-03",17.7,53.2,,,,,,,"Baron Davis took 20.9 shots a game in 2003-04 — more than anyone else here — and converted at a 49.2 true shooting percentage, the worst of the four by eight points. Aaron Gordon's 2022-23 is the mirror image: barely half the shots, and the most efficient season on the chart. Volume scoring and efficient scoring are close to opposite skills, and the box score rewards the first one.","stats.nba.com leaguedashplayerstats, via the sportsdataverse/hoopR nba_stats_player_season_stats release. Regular-season per-game averages."
nba-ppg-ra-walker-2018,NBA,Points per game (season),PPG,0.1,12.5,32.5,Rebounds + assists per game (season),REB+AST,0.1,9,17,"Kemba Walker, 2018-19",25.6,10.3,"Tim Duncan, 2011-12",15.4,11.3,"Bam Adebayo, 2021-22",19.1,13.5,"Karl Malone, 2000-01",23.2,12.8,,,,,,,"Kemba Walker scored 25.6 a game in 2018-19, the most here by two points over Karl Malone's 2000-01 — and contributed the fewest rebounds and assists of the four. Tim Duncan, ten points behind him in scoring, out-produced him everywhere else. Walker was an All-NBA guard that year on almost pure scoring volume.","stats.nba.com leaguedashplayerstats, via the sportsdataverse/hoopR nba_stats_player_season_stats release. Regular-season per-game averages."
nba-usg-ts-allen-2020,NBA,Usage rate (season),USG%,0.1,12.5,32.5,True shooting percentage (season),TS%,0.1,45,85,"Jarrett Allen, 2020-21",16.3,66.1,"Marc Gasol, 2012-13",19.2,55.9,"Baron Davis, 2009-10",23.7,50.1,"Zach Randolph, 2008-09",27.7,53.1,,,,,,,"Jarrett Allen used 16.3% of his team's possessions in 2020-21 — the lowest share on this chart — and finished with a 66.1 true shooting percentage, the highest by ten points. That is the role-player bargain in one data point: he only ever shot when it was already a good shot. Zach Randolph used almost twice the possessions to score far less efficiently.","stats.nba.com leaguedashplayerstats, via the sportsdataverse/hoopR nba_stats_player_season_stats release. Regular-season per-game averages."
nba-ppg-ra-williamson-2020,NBA,Points per game (season),PPG,0.1,12.5,32.5,Rebounds + assists per game (season),REB+AST,0.1,10.5,14.5,"Zion Williamson, 2020-21",27,10.9,"Shawn Marion, 2007-08",15.4,12.4,"Bam Adebayo, 2021-22",19.1,13.5,"Ja Morant, 2024-25",23.2,11.4,,,,,,,"Zion Williamson averaged 27.0 points in 2020-21 — more than Ja Morant's best scoring season here — while his rebounds and assists combined stayed at 10.9, below Bam Adebayo's 13.5 on eight fewer points a game. Williamson's production is unusually concentrated: he is one of the most efficient interior scorers on record and does comparatively little of everything else.","stats.nba.com leaguedashplayerstats, via the sportsdataverse/hoopR nba_stats_player_season_stats release. Regular-season per-game averages."
nba-mpg-ppg-marion-2004,NBA,Minutes per game (season),MPG,0.1,30,40,Points per game (season),PPG,0.1,18,26,"Shawn Marion, 2004-05",38.8,19.4,"Nikola Vučević, 2018-19",31.4,20.8,"CJ McCollum, 2020-21",34,23.1,"Paul Pierce, 2004-05",36.1,21.6,,,,,,,"Shawn Marion played 38.8 minutes a game in 2004-05, the most on this chart, and scored the fewest points of the four. Nikola Vučević scored more in seven fewer minutes. Marion was the defensive engine of a 62-win Suns team that ran its offense through Steve Nash and Amar'e Stoudemire — minutes measure trust, not usage.","stats.nba.com leaguedashplayerstats, via the sportsdataverse/hoopR nba_stats_player_season_stats release. Regular-season per-game averages."
nba-stl-blk-nowitzki-2005,NBA,Steals per game (season),SPG,0.1,0.5,1.5,Blocks per game (season),BPG,0.1,0.3,1.1,"Dirk Nowitzki, 2005-06",0.7,1,"CJ McCollum, 2024-25",0.8,0.4,"Draymond Green, 2023-24",1,0.9,"Kobe Bryant, 2006-07",1.4,0.5,,,,,,,"In his 2005-06 MVP-calibre season Dirk Nowitzki blocked more shots (1.0 a game) than he took steals (0.7) — the only player here that's true of, and a genuinely unusual shape for a perimeter-oriented seven-footer. Kobe Bryant, playing guard, had twice the steals and half the blocks.","stats.nba.com leaguedashplayerstats, via the sportsdataverse/hoopR nba_stats_player_season_stats release. Regular-season per-game averages."
nba-usg-ts-webber-2000,NBA,Usage rate (season),USG%,0.1,0,40,True shooting percentage (season),TS%,0.1,50,70,"Chris Webber, 2000-01",31.1,51.6,"P.J. Tucker, 2022-23",6.6,56.6,"JJ Redick, 2018-19",20.9,60.2,"Marc Gasol, 2016-17",26.2,55.4,,,,,,,"Chris Webber used 31.1% of Sacramento's possessions in 2000-01, the highest share here by five points, and turned them into a 51.6 true shooting percentage — the lowest. JJ Redick, at two-thirds the usage, was nine points more efficient. Usage measures how often an offense runs through you, not how well it works when it does.","stats.nba.com leaguedashplayerstats, via the sportsdataverse/hoopR nba_stats_player_season_stats release. Regular-season per-game averages."
nba-fga-ts-aldridge-2014,NBA,Field goal attempts per game (season),FGA,0.1,10,30,True shooting percentage (season),TS%,0.1,50,70,"LaMarcus Aldridge, 2014-15",19.9,52.8,"Shaquille O'Neal, 2008-09",11.2,62.3,"Bam Adebayo, 2024-25",14.3,56.1,"LeBron James, 2013-14",17.6,64.9,,,,,,,"LaMarcus Aldridge took 19.9 shots a game in 2014-15 and posted a 52.8 true shooting percentage. LeBron James, taking two fewer shots that same era, scored at 64.9 — twelve points better. Aldridge's signature shot was the long two, the least efficient in basketball, and it is the single clearest reason the league stopped taking it.","stats.nba.com leaguedashplayerstats, via the sportsdataverse/hoopR nba_stats_player_season_stats release. Regular-season per-game averages."
mlb-as-hr-bagwell,MLB,Career All-Star selections,AS,1,0,20,Career home runs,HR,1,100,500,Jeff Bagwell,4,449,Tim Raines,7,170,Kirby Puckett,10,207,Derek Jeter,14,260,,,,,,,"Jeff Bagwell hit 449 home runs and made four All-Star teams. Kirby Puckett, with 242 fewer homers, made ten. Bagwell won an MVP and an unanimous one at that, yet spent his career in Houston behind a wall of first basemen who were more famous than he was — All-Star voting measures how well known you are at least as much as how good.","Lahman / Chadwick Bureau baseball databank (core/Batting.csv, core/AllstarFull.csv). Career regular-season totals summed by playerID; All-Star selections counted as distinct years."
mlb-avg-hr-gwynn,MLB,Career batting average,AVG,0.001,0.27,0.35,Career home runs,HR,1,0,800,Tony Gwynn,0.338,135,Andre Dawson,0.279,438,Barry Larkin,0.295,198,Derek Jeter,0.31,260,,,,,,,"Tony Gwynn hit .338 for his career, the highest of any player since Ted Williams retired, and hit 135 home runs doing it — fewer than a third of Andre Dawson's 438. Gwynn struck out 434 times in twenty seasons; plenty of modern hitters manage that in three. He was the last great practitioner of a style of hitting the sport has essentially stopped teaching.",Lahman / Chadwick Bureau baseball databank (core/Batting.csv). Career regular-season totals summed by playerID; batting average computed as H/AB.
mlb-sb-hr-lofton,MLB,Career stolen bases,SB,1,0,800,Career home runs,HR,1,0,800,Kenny Lofton,622,130,Fred McGriff,72,493,Mike Schmidt,174,548,Andre Dawson,314,438,,,,,,,"Kenny Lofton stole 622 bases — more than Mike Schmidt, Fred McGriff and Andre Dawson combined, several times over — and hit 130 home runs. He fell off the Hall of Fame ballot after a single year, which is the sort of thing that happens to players whose value came from getting on base and then running, neither of which anybody built a highlight reel around.","Lahman / Chadwick Bureau baseball databank (core/Batting.csv, core/AllstarFull.csv). Career regular-season totals summed by playerID; All-Star selections counted as distinct years."
mlb-2b-hr-mcgwire,MLB,Career doubles,2B,1,200,600,Career home runs,HR,1,100,900,Mark McGwire,252,583,Tim Raines,430,170,Rickey Henderson,510,297,Eddie Murray,560,504,,,,,,,"Mark McGwire hit 583 home runs and 252 doubles — more than twice as many homers as doubles, which is close to backwards for a hitter. Eddie Murray, with 79 fewer home runs, hit more than double the doubles. McGwire hit the ball over the fence or not at all: he also drew 1,317 walks because pitchers stopped giving him anything to hit.","Lahman / Chadwick Bureau baseball databank (core/Batting.csv, core/AllstarFull.csv). Career regular-season totals summed by playerID; All-Star selections counted as distinct years."
mlb-avg-hr-bench,MLB,Career batting average,AVG,0.001,0.25,0.45,Career home runs,HR,1,50,450,Johnny Bench,0.267,389,Yogi Berra,0.285,358,George Brett,0.305,317,Ty Cobb,0.366,117,,,,,,,"Johnny Bench hit .267 with 389 home runs — the lowest average here by a distance, and more homers than George Brett and Yogi Berra. Ty Cobb, a hundred points of average higher, hit 117. Bench was the best defensive catcher who ever lived and hit like a corner slugger, which is why the batting average almost nobody remembers is the one number that looks ordinary.",Lahman / Chadwick Bureau baseball databank (core/Batting.csv). Career regular-season totals summed by playerID; batting average computed as H/AB.
nfl-ypc-rushyds-jackson-2023,NFL,Yards per carry (season),YPC,0.1,3,7,Rushing yards (season),yards,1,700,1500,"Lamar Jackson, 2023",5.5,821,"Jamal Lewis, 2005",3.4,906,"Curtis Martin, 2002",4.2,1094,"Le'Veon Bell, 2014",4.7,1361,,,,,,,"Lamar Jackson averaged 5.5 yards a carry in 2023 — well clear of Jamal Lewis and Adrian Peterson here — for 821 rushing yards, the fewest of the four. He is a quarterback: the efficiency comes from running only when the defense has already lost, and the volume stays low because running is the fallback, not the plan.","nflverse-data player_stats release, regular-season weekly rows aggregated by player_id and season. Season yardage is derived from play-by-play and can differ from official gamebook totals by a yard or two."
nba-fga-ts-gobert-2023,NBA,Field goal attempts per game (season),FGA,0.1,5,45,True shooting percentage (season),TS%,0.1,45,85,"Rudy Gobert, 2023-24",8.1,67.5,"Deandre Ayton, 2018-19",12.3,60.8,"Karl Malone, 2000-01",16.6,57.2,"Allen Iverson, 2001-02",27.8,48.9,,,,,,,"Rudy Gobert took 8.1 shots a game in 2023-24 and made them at a 67.5 true shooting percentage. Allen Iverson's 2001-02 is the exact inverse: 27.8 attempts at 48.9. Gobert essentially only shoots dunks and layups created by someone else, which is why he leads the league in efficiency and why nobody has ever built an offense around him.","stats.nba.com leaguedashplayerstats, via the sportsdataverse/hoopR nba_stats_player_season_stats release. Regular-season per-game averages."
nba-fga-ts-jamison-2000,NBA,Field goal attempts per game (season),FGA,0.1,7.5,27.5,True shooting percentage (season),TS%,0.1,47.5,67.5,"Antawn Jamison, 2000-01",22.1,49.9,"Shaquille O'Neal, 2008-09",11.2,62.3,"Bam Adebayo, 2024-25",14.3,56.1,"Paul George, 2020-21",17.6,59.8,,,,,,,"Antawn Jamison took 22.1 shots a game in 2000-01 and posted a 49.9 true shooting percentage — the most shots here and the worst efficiency, on a Golden State team that won 17 games. Shaquille O'Neal's 2008-09, at half the volume, was 12 points more efficient. Somebody has to shoot on a bad team, and the numbers it produces look like stardom without being it.","stats.nba.com leaguedashplayerstats, via the sportsdataverse/hoopR nba_stats_player_season_stats release. Regular-season per-game averages."
nba-mpg-ppg-wall-2010,NBA,Minutes per game (season),MPG,0.1,30,40,Points per game (season),PPG,0.1,15,35,"John Wall, 2010-11",37.8,16.4,"Lauri Markkanen, 2024-25",31.4,19.0,"Anthony Davis, 2022-23",34.0,25.9,"Kyrie Irving, 2024-25",36.1,24.7,,,,,,,"John Wall played 37.8 minutes a game as a rookie in 2010-11 — more than anyone else on this chart — and scored 16.4 points, the fewest. Lauri Markkanen scored more in six fewer minutes. Wall was the first pick on a 23-win team, which buys you every minute available and very little help scoring.","stats.nba.com leaguedashplayerstats, via the sportsdataverse/hoopR nba_stats_player_season_stats release. Regular-season per-game averages."
nba-usg-ts-vucevic-2020,NBA,Usage rate (season),USG%,0.1,0,40,True shooting percentage (season),TS%,0.1,55,63,"Nikola Vučević, 2020-21",29.2,56.0,"P.J. Tucker, 2022-23",6.6,56.6,"Kyle Lowry, 2020-21",20.9,59.3,"DeMar DeRozan, 2019-20",26.2,60.3,,,,,,,"Nikola Vučević used 29.2% of Orlando's possessions in 2020-21 at a 56.0 true shooting percentage. DeMar DeRozan, at 26.2% usage, was four points more efficient, and Kyle Lowry more efficient still on far fewer. High usage on a team without a better option is a description of the roster, not a measure of the player.","stats.nba.com leaguedashplayerstats, via the sportsdataverse/hoopR nba_stats_player_season_stats release. Regular-season per-game averages."
nba-mpg-ppg-brand-2000,NBA,Minutes per game (season),MPG,0.1,30,50,Points per game (season),PPG,0.1,19,27,"Elton Brand, 2000-01",39.3,20.1,"Nikola Vučević, 2018-19",31.4,20.8,"CJ McCollum, 2020-21",34.0,23.1,"De'Aaron Fox, 2024-25",36.1,23.5,,,,,,,"Elton Brand played 39.3 minutes a game in 2000-01 — the most on this chart — and scored 20.1 points, the fewest. He was 22, Rookie of the Year the season before, and playing for a Chicago team that won 15 games. Minutes at that age are usually a sign nobody else on the roster can be trusted with them.","stats.nba.com leaguedashplayerstats, via the sportsdataverse/hoopR nba_stats_player_season_stats release. Regular-season per-game averages."
